date,package,title
2022-05-09 ,BiDAG,Bayesian Inference for Directed Acyclic Graphs 
2022-05-09 ,bioRad,Biological Analysis and Visualization of Weather Radar Data 
2022-05-09 ,bolasso,Model Consistent Lasso Estimation Through the Bootstrap 
2022-05-09 ,choplump,Permutation Test for Some Positive and Many Zero Responses 
2022-05-09 ,clinPK,Clinical Pharmacokinetics Toolkit 
2022-05-09 ,ConNEcT,Contingency Measure-Based Networks for Binary Time Series 
2022-05-09 ,ContaminatedMixt,Clustering and Classification with the Contaminated Normal 
2022-05-09 ,cosmoFns,"Functions for Cosmological Distances, Times, Luminosities, Etc "
2022-05-09 ,decisionSupport,Quantitative Support of Decision Making under Uncertainty 
2022-05-09 ,DescTools,Tools for Descriptive Statistics 
2022-05-09 ,DescToolsAddIns,Interactive Functions to be Used as Shortcuts in 'RStudio' 
2022-05-09 ,DIME,Differential Identification using Mixture Ensemble 
2022-05-09 ,dLagM,Time Series Regression Models with Distributed Lag Models 
2022-05-09 ,dnapath,Differential Network Analysis using Gene Pathways 
2022-05-09 ,DoE.base,"Full Factorials, Orthogonal Arrays and Base Utilities for DoE Packages "
2022-05-09 ,domir,Tools to Support Relative Importance Analysis 
2022-05-09 ,dragracer,Data Sets for RuPaul's Drag Race 
2022-05-09 ,ecd,Elliptic Lambda Distribution and Option Pricing Model 
2022-05-09 ,EL,Two-Sample Empirical Likelihood 
2022-05-09 ,ExtremalDep,Extremal Dependence Models 
2022-05-09 ,fairml,Fair Models in Machine Learning 
2022-05-09 ,FAMT,Factor Analysis for Multiple Testing (FAMT) : Simultaneous Tests under Dependence in High-Dimensional Data 
2022-05-09 ,fdacluster,Joint Clustering and Alignment of Functional Data 
2022-05-09 ,forward,Robust Analysis using Forward Search 
2022-05-09 ,fossilbrush,Automated Cleaning of Fossil Occurrence Data 
2022-05-09 ,FREG,Functional Regression Models 
2022-05-09 ,FrF2,Fractional Factorial Designs with 2-Level Factors 
2022-05-09 ,gap.datasets,Datasets for 'gap' 
2022-05-09 ,gendata,Generate and Modify Synthetic Datasets 
2022-05-09 ,GeneF,Package for Generalized F-Statistics 
2022-05-09 ,ggRandomForests,Visually Exploring Random Forests 
2022-05-09 ,ghyp,Generalized Hyperbolic Distribution and Its Special Cases 
2022-05-09 ,glmmML,Generalized Linear Models with Clustering 
2022-05-09 ,globals,Identify Global Objects in R Expressions 
2022-05-09 ,gorpiper,GORpipe Tool for R 
2022-05-09 ,gpboost,Combining Tree-Boosting with Gaussian Process and Mixed Effects Models 
2022-05-09 ,gRain,Graphical Independence Networks 
2022-05-09 ,gratia,Graceful 'ggplot'-Based Graphics and Other Functions for GAMs Fitted Using 'mgcv' 
2022-05-09 ,hbim,Hill/Bliss Independence Model for Combination Vaccines 
2022-05-09 ,hornpa,Horn's (1965) Test to Determine the Number of Components/Factors 
2022-05-09 ,hqmisc,Miscellaneous Convenience Functions and Dataset 
2022-05-09 ,InferenceSMR,Inference About the Standardized Mortality Ratio when Evaluating the Effect of a Screening Program on Survival 
2022-05-09 ,langevitour,Langevin Tour 
2022-05-09 ,leiden,R Implementation of Leiden Clustering Algorithm 
2022-05-09 ,lisrelToR,Import Output from 'LISREL' into 'R' 
2022-05-09 ,list,Statistical Methods for the Item Count Technique and List Experiment 
2022-05-09 ,lm.beta,Add Standardized Regression Coefficients to lm-Objects 
2022-05-09 ,locits,Test of Stationarity and Localized Autocovariance 
2022-05-09 ,LowRankQP,Low Rank Quadratic Programming 
2022-05-09 ,lpme,Nonparametric Estimation of Measurement Error Models 
2022-05-09 ,lsa,Latent Semantic Analysis 
2022-05-09 ,mazeinda,Monotonic Association on Zero-Inflated Data 
2022-05-09 ,mctq,Tools to Process the Munich ChronoType Questionnaire (MCTQ) 
2022-05-09 ,medfate,Mediterranean Forest Simulation 
2022-05-09 ,minval,MINimal VALidation for Stoichiometric Reactions 
2022-05-09 ,mvMORPH,Multivariate Comparative Tools for Fitting Evolutionary Models to Morphometric Data 
2022-05-09 ,namedropR,Create Visual Citations for Presentation Slides 
2022-05-09 ,nestfs,Cross-Validated (Nested) Forward Selection 
2022-05-09 ,newsmap,Semi-Supervised Model for Geographical Document Classification 
2022-05-09 ,nimbleCarbon,Bayesian Analyses of Radiocarbon Dates with NIMBLE 
2022-05-09 ,openeo,Client Interface for 'openEO' Servers 
2022-05-09 ,orthopolynom,Collection of Functions for Orthogonal and Orthonormal Polynomials 
2022-05-09 ,pcmabc,Approximate Bayesian Computations for Phylogenetic Comparative Methods 
2022-05-09 ,plpoisson,Prediction Limits for Poisson Distribution 
2022-05-09 ,PLSiMCpp,Methods for Partial Linear Single Index Model 
